epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3693,0.62192,0.99751,1.36701,0.97026,0.7768,0.76364,0.79343,0.6555,0.7768,0.76364,0.7891,0.59836,0.57264,1.32206,1.62164,0.89725,0.000652482,0.000652482,0.000652482
2,128.17,0.75038,1.23652,1.31827,1.03789,0.37703,0.54545,0.39706,0.23051,0.35205,0.52727,0.36505,0.21598,1.13946,2.63766,1.87634,1.35475,0.00125385,0.00125385,0.00125385
3,184.354,0.80053,1.47133,1.2472,1.05597,0.61103,0.75556,0.67348,0.403,0.57132,0.65657,0.55107,0.20508,1.20794,4.88837,1.75937,1.29649,0.00178922,0.00178922,0.00178922
4,240.478,0.84112,1.43182,1.2917,1.08211,0.63555,0.85609,0.72822,0.52968,0.59855,0.82532,0.65447,0.39917,0.79152,2.86033,1.40686,1.08167,0.001703,0.001703,0.001703
5,297.215,0.82665,1.42688,1.15065,1.05398,0.66569,0.82626,0.73776,0.54341,0.68034,0.84444,0.76059,0.48404,0.76505,1.81206,1.54572,1.09328,0.001604,0.001604,0.001604
6,356.013,0.74932,1.21758,1.07083,1.04031,0.69478,0.89899,0.7681,0.62334,0.69822,0.90303,0.77531,0.56918,0.62333,1.48399,1.008,0.95013,0.001505,0.001505,0.001505
7,410.711,0.74132,1.26573,0.98852,1.02458,0.73448,0.92121,0.81382,0.65544,0.72102,0.95556,0.81589,0.60918,0.64661,1.26816,0.89697,0.92837,0.001406,0.001406,0.001406
8,461.941,0.70829,1.14382,0.95752,1.01517,0.77327,0.90101,0.83765,0.67971,0.77236,0.89495,0.82874,0.64561,0.65665,1.18561,0.7682,0.93818,0.001307,0.001307,0.001307
9,515.756,0.6451,0.97685,0.88571,0.98932,0.7519,0.88776,0.84227,0.69191,0.72754,0.93737,0.84384,0.70137,0.57004,0.81455,0.75173,0.90923,0.001208,0.001208,0.001208
10,570.253,0.65234,0.98894,0.87139,0.99289,0.74886,0.90909,0.80559,0.67819,0.74719,0.90707,0.79981,0.6547,0.54359,0.9856,0.74161,0.88575,0.001109,0.001109,0.001109
11,633.406,0.59941,0.98996,0.90748,0.97301,0.74045,0.85657,0.78126,0.63598,0.73352,0.86061,0.76819,0.61286,0.63534,1.22748,0.80888,0.94629,0.00101,0.00101,0.00101
12,686.514,0.60296,0.97996,0.89046,0.99906,0.77182,0.92525,0.83751,0.71107,0.77384,0.92727,0.83571,0.70632,0.52218,0.88535,0.68797,0.90053,0.000911,0.000911,0.000911
13,740.939,0.56477,0.924,0.82339,0.94819,0.76355,0.94747,0.80565,0.69317,0.76709,0.95146,0.80682,0.6865,0.52832,0.83222,0.7153,0.90337,0.000812,0.000812,0.000812
14,794.816,0.54414,0.85415,0.76219,0.94269,0.76961,0.93939,0.83109,0.72424,0.77699,0.94747,0.83219,0.7077,0.50134,0.88503,0.6686,0.88891,0.000713,0.000713,0.000713
15,849.047,0.50789,0.79525,0.75405,0.93121,0.76895,0.95471,0.84635,0.73864,0.76895,0.95471,0.84155,0.72692,0.4941,0.84322,0.63934,0.87059,0.000614,0.000614,0.000614
16,902.251,0.48747,0.80529,0.70929,0.90445,0.76713,0.95556,0.83825,0.74173,0.77542,0.9556,0.84668,0.74532,0.44819,0.65572,0.62937,0.86877,0.000515,0.000515,0.000515
17,957.587,0.46557,0.7462,0.67166,0.90872,0.78364,0.94343,0.83415,0.74394,0.78711,0.94747,0.83604,0.75579,0.42555,0.61624,0.63792,0.84727,0.000416,0.000416,0.000416
18,1009.49,0.44518,0.69128,0.64576,0.89191,0.78407,0.93939,0.84866,0.75833,0.78407,0.93939,0.84785,0.75625,0.42134,0.66837,0.60385,0.85801,0.000317,0.000317,0.000317
19,1063.86,0.42619,0.66085,0.64787,0.8967,0.78287,0.95354,0.83824,0.74831,0.78951,0.96162,0.84923,0.76771,0.44582,0.56781,0.60045,0.86251,0.000218,0.000218,0.000218
20,1118.17,0.40136,0.6413,0.60384,0.87946,0.77724,0.96162,0.84709,0.7585,0.78479,0.96509,0.85145,0.77607,0.43007,0.56355,0.6024,0.85744,0.000119,0.000119,0.000119
